,License #,is_ADU_builder,ADU_performance_score,Bldg-New_count,Bldg-Alter/Repair_count,Bldg-Addition_count,2020_proj_count,2019_proj_count,2018_proj_count,2017_proj_count,2016_proj_count,2015_proj_count,2014_proj_count,2013_proj_count,experience,non_ADU_proj_count,non_ADU_avg_insp,non_ADU_avg_time_per_insp
573,1003213.0,True,16.428571428571427,1.0,12.0,1.0,0.0,4.0,2.0,3.0,5.0,0.0,0.0,0.0,1781,13,5.0,35.08956043956044
576,681686.0,True,19.6,0.0,3.0,5.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,1.0,1608,7,9.285714285714286,38.20477736549166
582,862361.0,True,15.266666666666667,1.0,16.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,6.0,5.0,2204,16,4.125,10.559375
587,944033.0,True,8.818181818181818,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,575,2,4.0,21.25
597,859873.0,True,13.888888888888891,0.0,20.0,1.0,0.0,2.0,3.0,1.0,5.0,1.0,3.0,6.0,1818,20,6.45,25.292261904761904
598,878850.0,True,18.428571428571427,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,484,2,7.5,13.277777777777779
608,696414.0,True,23.208604954367665,0.0,2.0,5.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,1525,5,7.8,26.635555555555555
622,645164.0,True,23.5,1.0,4.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,3.0,1800,7,9.571428571428571,32.07281746031746
627,1012171.0,True,14.571428571428573,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,338,1,14.0,37.214285714285715
629,736716.0,True,29.7,5.0,3.0,6.0,0.0,0.0,1.0,1.0,3.0,6.0,2.0,1.0,1981,13,14.76923076923077,49.86135160386174
631,1025403.0,True,5.487179487179487,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,323,1,10.0,20.5
645,865631.0,True,3.4375,8.0,8.0,14.0,0.0,1.0,3.0,5.0,1.0,7.0,4.0,9.0,2247,29,12.137931034482758,27.646017623350282
649,925471.0,True,7.751394927536233,2.0,7.0,15.0,0.0,4.0,3.0,4.0,1.0,7.0,3.0,2.0,1769,21,9.619047619047619,37.34488438732136
651,423484.0,True,29.626138253638253,9.0,96.0,41.0,0.0,0.0,1.0,14.0,30.0,44.0,14.0,43.0,2737,143,8.251748251748252,24.29541146385037
654,929105.0,True,15.357142857142858,9.0,2.0,8.0,0.0,2.0,2.0,5.0,2.0,3.0,3.0,2.0,2086,18,10.11111111111111,29.8421686338353
657,821150.0,True,19.4,0.0,35.0,2.0,0.0,2.0,5.0,1.0,3.0,10.0,6.0,10.0,2640,36,5.611111111111111,20.712707431457428
660,1003187.0,True,34.05278700627537,1.0,9.0,0.0,0.0,1.0,2.0,4.0,2.0,1.0,0.0,0.0,1154,8,4.25,22.46875
664,775449.0,True,23.8,2.0,5.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,2.0,2480,7,7.285714285714286,38.94285714285714
669,902853.0,True,20.09349548756329,1.0,5.0,7.0,0.0,0.0,3.0,7.0,3.0,0.0,0.0,0.0,854,11,7.0,44.96603951603952
670,718685.0,True,9.789473684210526,0.0,18.0,2.0,0.0,0.0,5.0,4.0,2.0,4.0,1.0,4.0,1371,19,10.105263157894736,11.247423482949799
674,859135.0,True,16.75,0.0,21.0,0.0,0.0,2.0,3.0,2.0,3.0,3.0,1.0,7.0,1505,20,5.3,24.732638888888893
681,988980.0,True,15.678571428571429,9.0,12.0,12.0,1.0,0.0,2.0,12.0,14.0,3.0,1.0,0.0,2637,32,10.21875,24.708846943497672
682,732646.0,True,24.75,1.0,4.0,11.0,0.0,0.0,1.0,2.0,0.0,1.0,6.0,6.0,2036,15,7.4,38.137830687830686
683,926630.0,True,18.714285714285715,3.0,4.0,6.0,0.0,0.0,2.0,1.0,3.0,1.0,1.0,5.0,2689,12,11.75,32.19594235421442
684,961017.0,True,26.434782608695652,1.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,2387,3,9.333333333333334,45.355555555555554
690,882785.0,True,10.333333333333334,0.0,4.0,3.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,2.0,1037,6,7.0,23.110648148148147
694,1013054.0,True,23.666666666666668,0.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1842,2,8.5,47.798611111111114
701,524577.0,True,30.5,3.0,2.0,4.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,3.0,2637,8,10.5,27.074576118326117
726,961716.0,True,5.740737612612612,0.0,10.0,5.0,0.0,0.0,2.0,9.0,4.0,0.0,0.0,0.0,918,12,8.916666666666666,34.81499766573296
729,976883.0,True,52.8,2.0,3.0,3.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,2288,7,8.285714285714286,31.19678178963893
740,773770.0,True,20.24,2.0,5.0,5.0,0.0,0.0,1.0,4.0,4.0,2.0,0.0,1.0,1245,11,11.545454545454545,20.255135301574928
742,962152.0,True,14.16006230320895,1.0,1.0,5.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,1.0,2112,4,7.75,45.80833333333333
754,301167.0,True,27.476190476190474,3.0,7.0,6.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,6.0,2522,15,9.6,45.36091602297485
